symbol,predicted Percent Growth
CWT,16.862388610839844
DOV,16.85235023498535
UPS,16.84479331970215
SAVE,16.82106590270996
CNP,16.815351486206055
HWM,16.7940731048584
EIX,16.782041549682617
ES,16.777515411376953
CTRE,16.77414894104004
HI,16.76341438293457
CIG,16.758350372314453
GEO,16.757797241210938
AES,16.75736427307129
KNX,16.74895668029785
FE,16.68580436706543
NOC,16.684179306030273
REZI,16.6795597076416
CBZ,16.642698287963867
GFL,16.64194107055664
NWN,16.63555335998535
MEG,16.63098907470703
HY,16.606685638427734
OGE,16.59969139099121
NGG,16.588289260864258
EPR,16.58681297302246
CBL,16.57804298400879
BBU,16.573165893554688
VST,16.571456909179688
CCS,16.562849044799805
AEE,16.553600311279297
SJW,16.546138763427734
NJR,16.545547485351562
PINE,16.536836624145508
DTE,16.53499984741211
DFH,16.528963088989258
SO,16.528362274169922
ARMK,16.52696990966797
WTRG,16.522205352783203
UTL,16.51284408569336
BKH,16.504074096679688
DUK,16.50368881225586
CTOS,16.495515823364258
AQN,16.492610931396484
HII,16.490501403808594
KIM,16.489980697631836
WCN,16.483049392700195
FTS,16.482593536376953
PCG,16.4688777923584
SWK,16.458890914916992
PNW,16.457761764526367
PGRE,16.404033660888672
AGR,16.40072250366211
CMI,16.394207000732422
DCI,16.393569946289062
BCO,16.389667510986328
WM,16.389402389526367
AWK,16.34353256225586
FIX,16.323251724243164
UMH,16.322284698486328
CPK,16.31368637084961
ENIC,16.288301467895508
BIP,16.275083541870117
RDW,16.26243782043457
PEG,16.258514404296875
WEC,16.25265884399414
AMBP,16.252460479736328
ETR,16.22951889038086
BXP,16.22454261779785
BEPC,16.2174072265625
WAB,16.207456588745117
SR,16.20415687561035
BERY,16.19120979309082
OGS,16.179304122924805
NEP,16.11155891418457
NI,16.107851028442383
HHH,16.098512649536133
BGSF,16.07135772705078
SRE,16.06850242614746
ALLE,16.060352325439453
DEI,16.044797897338867
LUV,16.01317024230957
ACM,15.992652893066406
D,15.924683570861816
SITC,15.924447059631348
GTLS,15.919328689575195
TT,15.917153358459473
DLX,15.91439437866211
VATE,15.898784637451172
LHX,15.895928382873535
TAC,15.874885559082031
OTIS,15.810958862304688
NEE,15.791282653808594
R,15.787283897399902
AMRC,15.771524429321287
ADT,15.76095962524414
LXP,15.74638557434082
TDG,15.730854034423828
VVI,15.718547821044922
DBRG,15.68861198425293
CAPL,15.663311004638672
URI,15.644917488098145
BEP,15.633298873901367
RSG,15.627480506896973
ZTO,15.58215618133545
RTO,15.5650634765625
CPA,15.422731399536133
PH,15.385616302490234
UNP,15.38376522064209
ROK,15.374354362487791
EFX,15.36768913269043
GHM,15.350934982299805
NMM,15.337556838989258
WELL,15.333245277404783
ABT,15.319939613342283
DHR,15.305115699768066
INVH,15.30015468597412
HE,15.29355239868164
CAE,15.287795066833496
AME,15.283662796020508
JCI,15.270100593566896
LMT,15.25172233581543
RTX,15.2493896484375
KNOP,15.156453132629396
MGM,15.07204246520996
CAAP,15.026013374328612
CVEO,15.021730422973633
HBI,15.0181884765625
CAT,14.99213981628418
TMO,14.99138069152832
STEM,14.979666709899902
DGX,14.96475315093994
ASAN,14.945157051086426
CRL,14.940791130065918
VLRS,14.938058853149414
SYK,14.924288749694824
SPLP,14.91542625427246
COOK,14.89421844482422
CP,14.857854843139648
APTV,14.85014533996582
PSTG,14.839701652526855
FLS,14.835500717163086
ZBH,14.81279754638672
EHC,14.805561065673828
GPN,14.804451942443848
GE,14.78544807434082
AL,14.758155822753906
NCLH,14.73969841003418
CNI,14.734103202819824
EVTC,14.6943359375
ITW,14.683734893798828
DPZ,14.591055870056152
MOH,14.560869216918944
CHE,14.506054878234863
DAL,14.477668762207031
MLP,14.476338386535645
TRI,14.454240798950195
BSX,14.38742733001709
FERG,14.372339248657228
MTW,14.355267524719238
JNPR,14.312771797180176
AAL,14.312435150146484
WKC,14.299331665039062
